Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.977291,-0.601562428288162,
,,,-0.977259,-0.560546808177605,
,,,-0.977227,-0.601562428288162,
,,,-0.977195,-0.621093675959855,
,,,-0.977163,-0.541015560505912,
,,,-0.977131,-0.460937445051968,
,,,-0.977099,-0.501953065162525,
,,,-0.977067,-0.460937445051968,
,,,-0.977035,-0.380859329598024,
,,,-0.977003,-0.400390577269718,
,,,-0.976971,-0.341796834254637,
,,,-0.976939,-0.220703098690137,
,,,-0.976907,-0.341796834254637,
,,,-0.976875,-0.320312461815774,
,,,-0.976843,-0.240234346361831,
,,,-0.976811,-0.261718718800694,
,,,-0.976779,-0.140624983236194,
,,,-0.976747,-0.0410156201105565,
,,,-0.976715,-0.0214843724388629,
,,,-0.976683,0.0585937430150807,
,,,-0.976651,0.0800781154539436,
,,,-0.976619,0.138671858469024,
,,,-0.976587,0.0585937430150807,
,,,-0.976555,0.0585937430150807,
,,,-0.976523,0.0585937430150807,
,,,-0.976491,0.0585937430150807,
,,,-0.976459,0.179687478579581,
,,,-0.976427,0.119140610797331,
,,,-0.976395,0.218749973922968,
,,,-0.976363,0.218749973922968,
,,,-0.976331,0.359374957159162,
,,,-0.976299,0.419921824941412,
,,,-0.976267,0.458984320284799,
,,,-0.976235,0.439453072613105,
,,,-0.976203,0.439453072613105,
,,,-0.976171,0.480468692723662,
,,,-0.976139,0.458984320284799,
,,,-0.976107,0.458984320284799,
,,,-0.976075,0.480468692723662,
,,,-0.976043,0.439453072613105,
,,,-0.976011,0.480468692723662,
,,,-0.975979,0.458984320284799,
,,,-0.975947,0.480468692723662,
,,,-0.975915,0.439453072613105,
,,,-0.975883,0.458984320284799,
,,,-0.975851,0.480468692723662,
,,,-0.975819,0.480468692723662,
,,,-0.975787,0.480468692723662,
,,,-0.975755,0.458984320284799,
,,,-0.975723,0.439453072613105,
,,,-0.975691,0.439453072613105,
,,,-0.975659,0.439453072613105,
,,,-0.975627,0.458984320284799,
,,,-0.975595,0.419921824941412,
,,,-0.975563,0.458984320284799,
,,,-0.975531,0.439453072613105,
,,,-0.975499,0.419921824941412,
,,,-0.975467,0.419921824941412,
,,,-0.975435,0.419921824941412,
,,,-0.975403,0.419921824941412,
,,,-0.975371,0.419921824941412,
,,,-0.975339,0.419921824941412,
,,,-0.975307,0.400390577269718,
,,,-0.975275,0.439453072613105,
,,,-0.975243,0.400390577269718,
,,,-0.975211,0.400390577269718,
,,,-0.975179,0.400390577269718,
,,,-0.975147,0.419921824941412,
,,,-0.975115,0.359374957159162,
,,,-0.975083,0.400390577269718,
,,,-0.975051,0.419921824941412,
,,,-0.975019,0.400390577269718,
,,,-0.974987,0.400390577269718,
,,,-0.974955,0.378906204830855,
,,,-0.974923,0.400390577269718,
,,,-0.974891,0.378906204830855,
,,,-0.974859,0.400390577269718,
,,,-0.974827,0.359374957159162,
,,,-0.974795,0.400390577269718,
,,,-0.974763,0.378906204830855,
,,,-0.974731,0.359374957159162,
,,,-0.974699,0.359374957159162,
,,,-0.974667,0.378906204830855,
,,,-0.974635,0.378906204830855,
,,,-0.974603,0.400390577269718,
,,,-0.974571,0.378906204830855,
,,,-0.974539,0.359374957159162,
,,,-0.974507,0.339843709487468,
,,,-0.974475,0.359374957159162,
,,,-0.974443,0.359374957159162,
,,,-0.974411,0.359374957159162,
,,,-0.974379,0.339843709487468,
,,,-0.974347,0.339843709487468,
,,,-0.974315,0.359374957159162,
,,,-0.974283,0.359374957159162,
,,,-0.974251,0.359374957159162,
,,,-0.974219,0.359374957159162,
,,,-0.974187,0.320312461815774,
,,,-0.974155,0.320312461815774,
,,,-0.974123,0.339843709487468,
,,,-0.974091,0.339843709487468,
,,,-0.974059,0.298828089376912,
,,,-0.974027,0.320312461815774,
,,,-0.973995,0.320312461815774,
,,,-0.973963,0.339843709487468,
,,,-0.973931,0.359374957159162,
,,,-0.973899,0.359374957159162,
,,,-0.973867,0.320312461815774,
,,,-0.973835,0.298828089376912,
,,,-0.973803,0.279296841705218,
,,,-0.973771,0.298828089376912,
,,,-0.973739,0.339843709487468,
,,,-0.973707,0.320312461815774,
